"Cluster","Cluster Enrichment Score","Category","Term","Count","List Total","Pop Hits","Pop Total","%","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids","Full Term"
"1","3.74","KEGG_PATHWAY","Hepatitis C","5","9","156","9375","55.56","4.90e-6","4.02e-5","33.39","9.02e-4","2.14e-5","1.43e-7","CASP3,AKT1,TNF,TP53,MAPK3","hsa05160:Hepatitis C"
"1","3.74","KEGG_PATHWAY","Herpes simplex virus 1 infection","5","9","180","9375","55.56","8.66e-6","6.04e-5","28.94","1.59e-3","3.21e-5","2.92e-7","IL6,CASP3,AKT1,TNF,TP53","hsa05168:Herpes simplex virus 1 infection"
"1","3.74","KEGG_PATHWAY","Proteoglycans in cancer","5","9","204","9375","55.56","1.42e-5","9.03e-5","25.53","2.62e-3","4.81e-5","5.45e-7","CASP3,AKT1,TNF,TP53,MAPK3","hsa05205:Proteoglycans in cancer"
"1","3.74","KEGG_PATHWAY","Alcoholic liver disease","4","9","144","9375","44.44","1.88e-4","8.23e-4","28.94","3.40e-2","4.38e-4","6.34e-6","IL6,CASP3,AKT1,TNF","hsa04936:Alcoholic liver disease"
"1","3.74","GOTERM_BP_DIRECT","positive regulation of apoptotic process","4","9","330","19172","44.44","2.65e-4","1.39e-2","25.82","1.54e-1","1.30e-2","1.01e-5","IL6,CASP3,TNF,TP53","GO:0043065~positive regulation of apoptotic process"
"1","3.74","GOTERM_BP_DIRECT","positive regulation of neuron apoptotic process","3","9","67","19172","33.33","3.32e-4","1.61e-2","95.38","1.89e-1","1.50e-2","3.38e-6","CASP3,TNF,TP53","GO:0043525~positive regulation of neuron apoptotic process"
"1","3.74","GOTERM_BP_DIRECT","neuron apoptotic process","3","9","93","19172","33.33","6.40e-4","2.87e-2","68.72","3.32e-1","2.69e-2","9.09e-6","CASP3,TNF,TP53","GO:0051402~neuron apoptotic process"
"1","3.74","GOTERM_MF_DIRECT","protease binding","3","9","113","19319","33.33","9.28e-4","2.72e-2","56.99","7.84e-2","2.72e-2","1.60e-5","CASP3,TNF,TP53","GO:0002020~protease binding"
"1","3.74","KEGG_PATHWAY","Amyotrophic lateral sclerosis","3","9","368","9375","33.33","3.68e-2","7.20e-2","8.49","9.99e-1","3.83e-2","4.22e-3","CASP3,TNF,TP53","hsa05014:Amyotrophic lateral sclerosis"
"2","3.54","KEGG_PATHWAY","TNF signaling pathway","7","9","119","9375","77.78","1.01e-10","1.86e-8","61.27","1.86e-8","9.91e-9","1.57e-12","IL6,JUN,CASP3,AKT1,PTGS2,TNF,MAPK3","hsa04668:TNF signaling pathway"
"2","3.54","KEGG_PATHWAY","Hepatitis B","7","9","163","9375","77.78","6.86e-10","6.31e-8","44.73","1.26e-7","3.36e-8","1.48e-11","IL6,JUN,CASP3,AKT1,TNF,TP53,MAPK3","hsa05161:Hepatitis B"
"2","3.54","KEGG_PATHWAY","Kaposi sarcoma-associated herpesvirus infection","7","9","196","9375","77.78","2.09e-9","1.28e-7","37.20","3.85e-7","6.84e-8","5.45e-11","IL6,JUN,CASP3,AKT1,PTGS2,TP53,MAPK3","hsa05167:Kaposi sarcoma-associated herpesvirus infection"
"2","3.54","KEGG_PATHWAY","Lipid and atherosclerosis","7","9","216","9375","77.78","3.76e-9","1.56e-7","33.76","6.92e-7","8.29e-8","1.08e-10","IL6,JUN,CASP3,AKT1,TNF,TP53,MAPK3","hsa05417:Lipid and atherosclerosis"
"2","3.54","KEGG_PATHWAY","IL-17 signaling pathway","6","9","94","9375","66.67","4.98e-9","1.56e-7","66.49","9.16e-7","8.29e-8","7.09e-11","IL6,JUN,CASP3,PTGS2,TNF,MAPK3","hsa04657:IL-17 signaling pathway"
