Category,Term,Count,List Total,Pop Hits,Pop Total,P-Value,Benjamini,Fold Enrichment,Bonferroni,FDR,Fisher Exact,Full Term,User Ids,
GOTERM_BP_DIRECT,positive regulation of miRNA transcription,4,9,62,19172,1.78e-6,6.55e-4,137.43,1.12e-3,6.13e-4,1.23e-8,GO:1902895~positive regulation of miRNA transcription,"IL6,JUN,TNF,TP53",
GOTERM_BP_DIRECT,response to xenobiotic stimulus,5,9,256,19172,2.08e-6,6.55e-4,41.61,1.31e-3,6.13e-4,4.92e-8,GO:0009410~response to xenobiotic stimulus,"COL18A1,JUN,CASP3,TNF,TP53",
GOTERM_BP_DIRECT,negative regulation of cell population proliferation,5,9,432,19172,1.66e-5,2.87e-3,24.66,1.04e-2,2.68e-3,6.64e-7,GO:0008285~negative regulation of cell population proliferation,"COL18A1,IL6,JUN,TNF,TP53",
GOTERM_BP_DIRECT,positive regulation of neuroinflammatory response,3,9,16,19172,1.82e-5,2.87e-3,399.42,1.14e-2,2.68e-3,3.99e-8,GO:0150078~positive regulation of neuroinflammatory response,"IL6,TNF,MAPK3",
GOTERM_BP_DIRECT,negative regulation of apoptotic process,5,9,543,19172,4.07e-5,4.93e-3,19.62,2.53e-2,4.61e-3,2.05e-6,GO:0043066~negative regulation of apoptotic process,"IL6,AKT1,PTGS2,TNF,TP53",
GOTERM_BP_DIRECT,regulation of cell population proliferation,4,9,184,19172,4.70e-5,4.93e-3,46.31,2.91e-2,4.61e-3,9.97e-7,GO:0042127~regulation of cell population proliferation,"COL18A1,JUN,PTGS2,TNF",
GOTERM_BP_DIRECT,positive regulation of transcription by RNA polymerase II,6,9,1255,19172,5.65e-5,5.08e-3,10.18,3.49e-2,4.75e-3,5.50e-6,GO:0045944~positive regulation of transcription by RNA polymerase II,"IL6,JUN,AKT1,TNF,TP53,MAPK3",
GOTERM_BP_DIRECT,positive regulation of nitric oxide biosynthetic process,3,9,43,19172,1.36e-4,9.53e-3,148.62,8.22e-2,8.91e-3,8.75e-7,GO:0045429~positive regulation of nitric oxide biosynthetic process,"AKT1,PTGS2,TNF",
GOTERM_BP_DIRECT,lipopolysaccharide-mediated signaling pathway,3,9,43,19172,1.36e-4,9.53e-3,148.62,8.22e-2,8.91e-3,8.75e-7,GO:0031663~lipopolysaccharide-mediated signaling pathway,"AKT1,TNF,MAPK3",
GOTERM_BP_DIRECT,positive regulation of smooth muscle cell proliferation,3,9,51,19172,1.92e-4,1.21e-2,125.31,1.14e-1,1.13e-2,1.47e-6,GO:0048661~positive regulation of smooth muscle cell proliferation,"IL6,AKT1,TNF",
