"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","Full Term","User Ids"
"KEGG_PATHWAY","TNF signaling pathway","7","9","119","9375","1.01e-10","1.86e-8","61.27","1.86e-8","9.91e-9","1.57e-12","hsa04668:TNF signaling pathway","IL6,JUN,CASP3,AKT1,PTGS2,TNF,MAPK3"
"KEGG_PATHWAY","Hepatitis B","7","9","163","9375","6.86e-10","6.31e-8","44.73","1.26e-7","3.36e-8","1.48e-11","hsa05161:Hepatitis B","IL6,JUN,CASP3,AKT1,TNF,TP53,MAPK3"
"KEGG_PATHWAY","Kaposi sarcoma-associated herpesvirus infection","7","9","196","9375","2.09e-9","1.28e-7","37.20","3.85e-7","6.84e-8","5.45e-11","hsa05167:Kaposi sarcoma-associated herpesvirus infection","IL6,JUN,CASP3,AKT1,PTGS2,TP53,MAPK3"
"KEGG_PATHWAY","Lipid and atherosclerosis","7","9","216","9375","3.76e-9","1.56e-7","33.76","6.92e-7","8.29e-8","1.08e-10","hsa05417:Lipid and atherosclerosis","IL6,JUN,CASP3,AKT1,TNF,TP53,MAPK3"
"KEGG_PATHWAY","IL-17 signaling pathway","6","9","94","9375","4.98e-9","1.56e-7","66.49","9.16e-7","8.29e-8","7.09e-11","hsa04657:IL-17 signaling pathway","IL6,JUN,CASP3,PTGS2,TNF,MAPK3"
"KEGG_PATHWAY","Human cytomegalovirus infection","7","9","227","9375","5.08e-9","1.56e-7","32.12","9.34e-7","8.29e-8","1.54e-10","hsa05163:Human cytomegalovirus infection","IL6,CASP3,AKT1,PTGS2,TNF,TP53,MAPK3"
"KEGG_PATHWAY","AGE-RAGE signaling pathway in diabetic complications","6","9","101","9375","7.17e-9","1.88e-7","61.88","1.32e-6","1.00e-7","1.10e-10","hsa04933:AGE-RAGE signaling pathway in diabetic complications","IL6,JUN,CASP3,AKT1,TNF,MAPK3"
"KEGG_PATHWAY","C-type lectin receptor signaling pathway","6","9","105","9375","8.73e-9","2.01e-7","59.52","1.61e-6","1.07e-7","1.40e-10","hsa04625:C-type lectin receptor signaling pathway","IL6,JUN,AKT1,PTGS2,TNF,MAPK3"
"KEGG_PATHWAY","Apoptosis","6","9","137","9375","3.35e-8","6.85e-7","45.62","6.16e-6","3.65e-7","7.07e-10","hsa04210:Apoptosis","JUN,CASP3,AKT1,TNF,TP53,MAPK3"
"KEGG_PATHWAY","Epstein-Barr virus infection","6","9","205","9375","2.53e-7","4.65e-6","30.49","4.65e-5","2.48e-6","8.08e-9","hsa05169:Epstein-Barr virus infection","IL6,JUN,CASP3,AKT1,TNF,TP53"
"KEGG_PATHWAY","Pertussis","5","9","78","9375","3.03e-7","5.06e-6","66.77","5.57e-5","2.70e-6","4.30e-9","hsa05133:Pertussis","IL6,JUN,CASP3,TNF,MAPK3"
"KEGG_PATHWAY","Human T-cell leukemia virus 1 infection","6","9","224","9375","3.93e-7","6.03e-6","27.90","7.24e-5","3.21e-6","1.38e-8","hsa05166:Human T-cell leukemia virus 1 infection","IL6,JUN,AKT1,TNF,TP53,MAPK3"
"KEGG_PATHWAY","Colorectal cancer","5","9","87","9375","4.71e-7","6.66e-6","59.87","8.66e-5","3.55e-6","7.50e-9","hsa05210:Colorectal cancer","JUN,CASP3,AKT1,TP53,MAPK3"
"KEGG_PATHWAY","Salmonella infection","6","9","248","9375","6.53e-7","8.58e-6","25.20","1.20e-4","4.57e-6","2.54e-8","hsa05132:Salmonella infection","IL6,JUN,CASP3,AKT1,TNF,MAPK3"
"KEGG_PATHWAY","Pathways in cancer","7","9","533","9375","8.34e-7","1.02e-5","13.68","1.53e-4","5.45e-6","6.02e-8","hsa05200:Pathways in cancer","IL6,JUN,CASP3,AKT1,PTGS2,TP53,MAPK3"
"KEGG_PATHWAY","Chagas disease","5","9","103","9375","9.30e-7","1.07e-5","50.57","1.71e-4","5.70e-6","1.77e-8","hsa05142:Chagas disease","IL6,JUN,AKT1,TNF,MAPK3"
"KEGG_PATHWAY","Toll-like receptor signaling pathway","5","9","109","9375","1.17e-6","1.26e-5","47.78","2.15e-4","6.73e-6","2.35e-8","hsa04620:Toll-like receptor signaling pathway","IL6,JUN,AKT1,TNF,MAPK3"
